"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","20.0084","1.4170","7218.7827","7218.0000","84.9588","4.4341","99.6950","7218.0000"
"2","20.0254","1.4182","7212.4941","7211.7054","85.3071","4.4304","99.6950","7277.3068"
"3","20.0424","1.4194","7206.2055","7205.4109","84.7921","4.4267","99.6950","7189.7079"
"4","20.0594","1.4206","7199.9171","7199.1163","86.1703","4.4230","99.6950","7425.3287"
"5","20.0764","1.4218","7194.5843","7192.8218","85.2951","4.4193","99.6950","7275.2554"
"6","20.0934","1.4230","7188.3008","7186.5272","84.6585","4.4156","99.6950","7167.0656"
"7","20.1104","1.4242","7182.0174","7180.2327","85.9401","4.4119","99.6950","7385.7056"
"8","20.1274","1.4253","7175.7341","7173.9381","84.7031","4.4082","99.6950","7174.6194"
"9","20.1444","1.4265","7169.9287","7167.6435","85.0140","4.4045","99.6950","7227.3738"
"10","20.1614","1.4277","7163.6480","7161.3490","84.8526","4.4008","99.6950","7199.9596"
"11","20.1784","1.4289","7157.3675","7155.0544","84.6568","4.3972","99.6950","7166.7803"
"12","20.1954","1.4301","7151.0870","7148.7599","85.2270","4.3935","99.6950","7263.6411"
"13","20.2124","1.4313","7144.8067","7142.4653","84.5657","4.3898","99.6950","7151.3551"
"14","20.2294","1.4325","7138.5266","7136.1708","85.0457","4.3862","99.6950","7232.7754"
"15","20.2464","1.4337","7132.2466","7129.8762","84.9914","4.3826","99.6950","7223.5340"
"16","20.2634","1.4349","7125.9667","7123.5816","84.6333","4.3789","99.6950","7162.7903"
"17","20.2804","1.4361","7119.5283","7117.1283","84.0141","4.3753","99.6950","7058.3654"
"18","20.2974","1.4373","7113.0899","7110.6750","83.9806","4.3717","99.6950","7052.7488"
"19","20.3144","1.4384","7106.6518","7104.2217","84.2336","4.3680","99.6950","7095.3059"
"20","20.3314","1.4396","7100.2138","7097.7685","84.5401","4.3644","99.6950","7147.0248"
"21","20.3484","1.4408","7093.7759","7091.3152","84.9043","4.3608","99.6950","7208.7331"
"22","20.3654","1.4420","7087.3382","7084.8619","84.7914","4.3572","99.6950","7189.5844"
"23","20.3824","1.4432","7080.9006","7078.4086","84.1482","4.3536","99.6950","7080.9183"
