"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1749","49.7244","3.4294","12748.2675","12509.2857","111.9831","1.8321","99.6950","12540.2233"
"1750","49.7414","3.4305","12774.7260","12510.5041","113.1928","1.8316","99.6950","12812.6168"
"1751","49.7584","3.4316","12803.4862","12511.7226","113.4112","1.8310","99.6950","12862.0939"
"1752","49.7754","3.4327","12834.5611","12512.9410","113.4482","1.8304","99.6950","12870.5009"
"1753","49.7924","3.4338","12867.9189","12514.1595","112.9503","1.8298","99.6950","12757.7599"
"1754","49.8094","3.4349","12903.4744","12515.3780","113.1976","1.8292","99.6950","12813.6854"
"1755","49.8264","3.4360","12941.0806","12516.5964","113.5056","1.8286","99.6950","12883.5187"
"1756","49.8434","3.4371","12980.5174","12517.8149","113.6941","1.8280","99.6950","12926.3467"
"1757","49.8604","3.4382","13020.9903","12518.5424","114.3386","1.8275","99.6950","13073.3208"
"1758","49.8774","3.4393","13062.5910","12519.2699","114.2799","1.8269","99.6950","13059.9048"
"1759","49.8944","3.4404","13104.8134","12519.9974","114.6368","1.8263","99.6950","13141.5990"
"1760","49.9114","3.4415","13147.0374","12520.7249","114.2123","1.8257","99.6950","13044.4396"
"1761","49.9284","3.4426","13188.5269","12521.4524","114.3885","1.8251","99.6950","13084.7296"
"1762","49.9454","3.4437","13228.4402","12522.1799","114.7078","1.8245","99.6950","13157.8794"
"1763","49.9624","3.4448","13265.8559","12522.9074","114.7777","1.8240","99.6950","13173.9122"
"1764","49.9794","3.4459","13299.8174","12523.6349","114.3878","1.8234","99.6950","13084.5732"
"1765","49.9964","3.4470","13329.3956","12524.3624","115.0136","1.8228","99.6950","13228.1214"
"1766","50.0134","3.4481","13353.7607","12525.0899","114.6621","1.8222","99.6950","13147.4039"
"1767","50.0304","3.4492","13372.2521","12525.8174","113.8091","1.8216","99.6950","12952.5187"
"1768","50.0474","3.4503","13384.4286","12526.5449","114.3961","1.8211","99.6950","13086.4774"
"1769","50.0644","3.4514","13390.0891","12527.2724","115.5345","1.8205","99.6950","13348.2307"
"1770","50.0814","3.4525","13389.2594","12527.9999","115.7958","1.8199","99.6950","13408.6670"
"1771","50.0984","3.4536","13382.1545","12528.7274","115.5180","1.8193","99.6950","13344.4187"
"1772","50.1154","3.4547","13368.6201","12528.9442","115.5261","1.8188","99.6950","13346.2752"
"1773","50.1324","3.4558","13349.6225","12529.1610","115.9312","1.8182","99.6950","13440.0514"
"1774","50.1494","3.4569","13325.6898","12529.3778","115.5844","1.8176","99.6950","13359.7527"
"1775","50.1664","3.4579","13297.4103","12529.5946","115.5348","1.8170","99.6950","13348.2929"
"1776","50.1834","3.4590","13265.4272","12529.8114","115.0236","1.8165","99.6950","13230.4201"
"1777","50.2004","3.4601","13230.4325","12530.0282","114.2462","1.8159","99.6950","13052.1858"
"1778","50.2174","3.4612","13193.1509","12530.2450","114.7993","1.8153","99.6950","13178.8821"
"1779","50.2344","3.4623","13154.3164","12530.4618","115.4650","1.8147","99.6950","13332.1577"
"1780","50.2514","3.4634","13114.6422","12530.6786","114.3744","1.8142","99.6950","13081.5069"
"1781","50.2684","3.4645","13074.7921","12530.8954","114.9130","1.8136","99.6950","13204.9886"
"1782","50.2854","3.4656","13035.3586","12531.1122","114.8815","1.8130","99.6950","13197.7694"
"1783","50.3024","3.4667","12996.8483","12531.3290","114.8227","1.8124","99.6950","13184.2534"
