2Theta (degrees),Intensity
14.557126358413779,74.09643675098576
27.055290070273557,4.898138078676613
29.35605410768983,0.1467887331736337
30.855273082629626,100.0
40.34517854293906,72.16663091636207
44.67733420724462,1.4369456236674902
47.80128040522745,42.552991042647946
50.2378852206883,16.002795455581598
53.01214752597211,26.066617910007174
55.78692908188567,0.6808495101004876
57.091833838558195,0.03627105182973454
57.98308762378453,14.069531366088494
60.89836508530057,3.606103827876301
64.2870888700834,16.210655324451476
67.49390501491621,2.244082530165796
67.85645469897818,4.37907661991555
74.13630753825443,9.024728249966985
76.46872612498672,0.43005162103560485
78.35345655413259,11.157933629769008
78.61282055529139,1.966241431058197
80.9054381693289,9.380558547779176
83.94021368383757,14.945561610893884
84.95109590152887,2.7296341655161998
87.21247156810689,2.1214415889539384
89.1341073442195,6.699488494963987
