full cycle,Current,UCV,LCV,Discharge Capacity,Charge Capacity,CE,Specific Discharge Capacity,Specific Charge Capacity,Areal Discharge Capacity,Areal Charge Capacity,Discharge Energy,Charge Energy,Specific Discharge Energy,Specific Charge Energy,Areal Discharge Energy,Areal Charge Energy,Average Discharge Voltage,Average Charge Voltage
0.0,-0.07164558430502849,2.0322778,0.9999751,0.5529817079754527,,,132.29227463527576,,0.2749784723895836,,0.677332677638941,,162.04131043993806,,0.3368138625753063,,1.2248735679137661,
1.0,0.13176475342480168,2.636959,0.9999178,0.08840614643106444,3.581000373100251,0.024687555772167323,21.14979579690537,856.6986538517348,0.04396128614175258,1.780706301889732,0.0973787663170006,7.8398404885427215,23.296355578229807,1875.5599254886895,0.04842305634858309,3.8984786119058787,1.1014931681580833,2.1892878167324454
2.0,0.1377564148467658,2.2624252,1.0000515,0.005845242872782051,3.5810002770623335,0.00163229333162107,1.3983834623880504,856.6986308761565,0.002906634944197937,1.7807062541334326,0.005980580343527248,6.664345863398001,1.4307608477337914,1594.3411156454547,0.0029739335373084276,3.313946227448036,1.0231534383926777,1.8610291392842573
3.0,0.13816580314640448,1.8123659,0.99573576,0.0004047049687264694,3.581000244128036,0.00011301450464575827,0.09681937050872474,856.6986229971378,0.00020124563337964662,1.7807062377563578,0.0004072215758334915,6.033716810002971,0.09742142962523721,1443.4729210533424,0.00020249705411909074,3.0003564445564255,1.0062183746222375,1.6849249926460603
4.0,0.13819493143459083,1.7724547,0.9748636,5.285975808898609e-07,3.581000241646028,1.4761171327005772e-07,0.00012645875140905762,856.698622403356,2.6285309840371e-07,1.7807062365221422,5.16343910508519e-07,6.050171236481192,0.00012352725131782754,1447.409386717989,2.5675977648359966e-07,3.008538655634606,0.976818527317674,1.6895199185186858
5.0,0.13876601560750285,1.8063078,0.9099129,,7.558960596457734,,,1808.3637790568744,,3.7588068604961378,,12.097274340456462,,2894.0847704441303,,6.01555163622897,,1.6003885965651765
