2Theta (degrees),Intensity
27.97605860655808,32.846728232912874
32.41457612280346,100.0
36.36661055704256,42.02564740217938
39.97834107246941,37.33057472100919
46.49774164987459,51.14759518926986
49.50127988664419,1.225959348899077
55.143233328313734,90.3393597458865
57.8204140963719,15.822692435843395
60.421033053442855,16.000902793813182
62.956261740900224,20.015551619906397
67.86647488454028,0.011535850399622101
70.25623912283366,1.615964239927647
72.61072751992872,0.8944970738310364
74.93527688932178,13.608576897647582
77.23469779152511,11.96111837153223
79.51338550308348,6.453827844764531
81.7754101163278,3.0153090601427537
86.26456301433734,12.63524450873933
88.49882811437321,0.932086101489388
