2Theta (degrees),Intensity
28.649577893921585,37.78149119296198
33.20066955917832,93.9112763658216
37.25516888992906,53.657103646293365
40.96266923220833,44.860933011169706
47.66099839807685,50.433438713877614
50.75000153725299,0.6705824697650785
56.55857007655406,100.0
59.31793460712262,15.92114275131825
62.000541221462214,16.553346263290997
64.6179124895152,22.14735054869155
69.69413482411441,0.034484788566829176
72.16835448456762,0.8079264751434084
74.60864693723686,0.4654328521312457
77.0206366137287,11.151901747523594
79.40942995889554,13.791267623530855
81.7797320010158,9.117427788193273
84.13594218298307,4.515342037842689
88.82263283361671,13.573608306107163
