2Theta (degrees),Intensity
27.15561289245088,85.89435165316331
31.39729526836187,96.5222539900888
31.457385837203667,98.46319218120364
31.51789302029322,100.0
35.244730780276015,32.19618248251358
35.271751808557354,33.08447013685843
35.33998858206819,32.00112838396426
38.74384081242222,30.731046044948467
38.781373733736494,29.20969947991993
38.81920097060048,30.393217924637902
45.040730622341506,49.71821289412258
45.08537601914553,49.842116645963706
45.12960359662978,50.06102027718776
47.954297497755405,1.502841723461956
47.986207734766616,1.3241626252120378
48.01782799318125,1.7034996939366809
53.350302433588986,81.85496445155366
53.428368919734226,79.57353107206367
53.50703212966671,77.63663856997313
56.00774154134037,45.80634329387327
58.42776058246783,14.10022335362188
58.54752368423415,14.206872238209726
58.557103257225656,14.655324977624865
60.87658594508948,1.9216928636669366
60.90371556336592,15.347528067137848
60.92140961315369,16.059181014298158
60.97540520330342,1.7714542092684873
60.99370795399645,1.6007438948339714
61.02057397717156,15.758512757896478
65.52465956986154,0.10984114997277436
65.66228743412672,0.1347972501342525
65.8009567762885,0.15864556584071596
67.82598751012668,0.8820121860903213
67.91076834693209,1.2256537404218384
67.94428553189158,1.025984749298609
67.95302980255609,0.9890104893304056
67.99564474372501,1.1565347337713328
68.08905989894787,1.096560158316274
70.08181689670607,1.0309425609111085
70.2067393285363,1.1100773852211632
70.33264521355594,1.2740583296674672
72.36343808282646,14.645222540618265
72.42975090576672,14.828040693945905
72.49546996731463,15.027803557367086
74.4945458219608,5.353755715642811
74.52734066700897,5.190603411358376
74.59206976747748,5.569502548599504
74.65734189110921,5.214963708023908
74.72315661249675,5.582056349549639
74.75563404696639,5.391051201339715
76.67647207355408,0.07875929589815386
76.70082931090359,4.540797667573615
76.7730495127833,4.369882356502405
76.82153304010855,0.10129366175382856
76.89476310605573,0.08662953735382317
76.91888949715039,4.346255511144862
78.9108698361267,1.841991851982982
78.95112341781682,2.1408618253717284
78.9910256780142,1.7322201205446062
83.11903259225248,11.467468993366813
83.21370185418166,11.54596072645614
83.30917274044553,11.59664430883978
85.25859025411053,1.255750754461816
85.27492305764589,1.1575535396385632
85.45615122838797,1.4013344786085296
87.3213048998687,1.376487708621518
87.37619506801839,0.18633084776437311
87.38457998769424,0.13754276386750452
87.49482809197826,1.643125598564825
87.5021929575935,1.5354910235986376
87.55755101943328,0.19011946068327873
89.35698067633396,29.552319958996446
89.54498280169491,29.451155358684787
89.54552591733544,12.334360011970354
89.73460934124057,29.321067125477978
