2Theta (degrees),Intensity
26.71750419825199,26.981285189341683
30.946768328972013,100.0
34.70877999735728,25.227996408991018
38.14333081647316,24.42136079560675
44.3329577424149,50.6584029049503
47.17962128745774,1.7099274922479146
52.5170765646678,71.83012327213613
55.04476167692567,15.220245133586548
57.496735066160625,12.781334155584956
59.883555368404004,15.511405315801671
64.49551524604655,0.38851744865546783
66.73445607270068,2.585288343134871
68.9363734789062,1.3398734978587026
71.10615269017109,15.986581405240122
73.2481503808223,10.125009903335144
75.36629754930664,3.1477438611348747
77.4641818239468,1.1076779047460525
81.61218627571094,10.773411804788237
83.66831424527726,1.6206652245357396
85.7162828551119,2.1350670712606568
87.75878001123739,31.68028817898652
