2Theta,Intensity
24.412,100
33.995,14.6
35.581,5.9
40.933,0.4
41.222,15.6
43.623,2
50.03,14.5
55.335,16.3
56.112,1.6
57.507,7.3
59.798,1.7
62.891,3.8
63.903,4.9
66.762,0.7
71.557,2.7
74.745,1.1
75.017,1.3
75.333,0.8
76.612,0.4
78.734,0.3
78.927,0.3
79.388,0.8
80.574,2.7
82.551,1
85.281,0.3
85.88,0.1
88.745,0.9
88.745,0.9
89.503,0.9
91.314,0.5
95.994,0.2
96.596,0.6
98.156,0.3
99.485,0.2
100.909,0.1
102.1,0.1
104.108,0.1
104.922,0.1
106.926,0.9
107.277,0.1
107.874,0.2
110.626,0.1
111.595,0.1
113.174,0.2
115.497,0.1
119.227,0.6
122.561,0.6
123.466,0.7
125.467,0.1
125.7,0.1
125.7,0.1
128.109,0.6
129.118,0.2
131.647,0.5
132.452,0.2
132.869,0.1
135.641,0.1
136.461,0.2
137.856,0.1
138.535,0.1
140.079,0.3
140.33,0.4
143.232,0.1
148.347,0.1
149.506,0.1
