2Theta,Intensity
20.2655,23.21
24.3483,1000.00
26.8957,0.01
33.9085,612.93
35.4824,198.24
38.0706,52.53
40.8328,0.45
41.2020,25.56
43.5021,465.38
45.0795,28.40
45.9952,3.66
49.8926,119.63
55.1860,362.25
55.4360,0.00
55.4806,1.83
57.3407,147.58
59.4019,11.73
59.6405,91.73
62.7086,149.54
63.7122,68.95
65.4278,13.42
67.5660,5.12
70.4449,9.66
71.0982,0.00
71.1370,1.23
71.3542,30.59
74.8086,27.64
75.0975,61.93
76.6951,11.44
78.4922,45.02
78.7394,0.38
80.3151,42.80
81.4307,9.07
82.0539,2.21
82.2985,54.84
85.0030,49.44
85.6219,35.84
88.4824,18.24
89.2095,15.95
89.4152,3.82
89.4519,1.04
91.0014,30.00
92.0297,0.21
92.7574,0.41
95.6587,12.15
96.2789,25.89
99.1618,15.63
100.1077,4.36
100.1450,0.14
101.7231,22.84
102.7751,1.43
103.4839,2.62
103.5217,1.39
103.7332,30.49
106.5175,29.33
107.4543,13.95
108.9694,0.00
109.0860,2.00
112.7658,10.15
114.0059,0.29
114.0863,1.91
114.7638,3.62
114.8042,0.23
115.0310,9.24
118.7364,20.25
120.7151,0.95
122.0484,26.83
122.9102,76.16
123.1993,0.07
124.9368,20.31
125.0713,10.46
127.5038,28.41
130.9744,14.30
131.7965,20.90
132.1719,14.40
134.2987,2.25
135.7533,47.52
136.9447,0.00
137.1064,2.06
137.1603,1.32
139.3215,24.19
139.4908,46.98
141.1001,0.32
141.2172,2.48
142.2727,0.18
142.4289,17.11
147.2912,26.35
148.4510,29.47
151.9068,3.02
156.1683,36.84
156.4056,1.68
156.7753,0.25
161.0863,47.08
164.5687,3.13
167.4212,5.90
167.5909,7.80
168.0432,33.99
168.5872,50.53

