2Theta,Intensity
20.02535563,4277.60263754662
20.04235563,4271.58942726485
20.05935563,4265.59451820513
20.07635563,4259.61708763914
20.09335563,4253.65688171544
20.11035563,4247.71210566734
20.12735563,4241.78258251518
20.14435563,4235.86764929083
20.16135563,4229.96668124897
20.17835563,4224.07909093215
20.19535563,4218.20432710653
20.21235563,4212.34187358289
20.22935563,4206.49124794317
20.24635563,4200.65200019513
20.26335563,4194.82371137856
20.28035563,4189.00599214574
20.29735563,4183.19848133646
20.31435563,4177.40084456632
20.33135563,4171.61277284344
20.34835563,4165.83398122645
20.36535563,4160.06420753385
20.38235563,4154.30321111194
20.39935563,4148.55077166685
20.41635563,4142.80668816386
20.43335563,4137.07077779581
20.45035563,4131.34287502083
20.46735563,4125.62283066905
20.48435563,4119.91051111662
20.50135563,4114.20579752525
20.51835563,4108.50858514472
20.53535563,4102.81878267606
20.55235563,4097.13631169232
20.56935563,4091.46110611456
20.58635563,4085.79311174006
20.60335563,4080.13228582035
20.62035563,4074.47859668641
20.63735563,4068.83202341875
20.65435563,4063.19255556006
20.67135563,4057.56019286822
20.68835563,4051.93494510771
20.70535563,4046.31683187719
20.72235563,4040.70588247155
20.73935563,4035.10213577613
20.75635563,4029.50564019138
20.77335563,4023.91645358573
20.79035563,4018.33464327474
20.80735563,4012.76028602434
20.82435563,4007.19346807597
20.84135563,4001.63428519153
20.85835563,3996.08284271586
20.87535563,3990.53925565448
20.89235563,3985.00364876444
20.90935563,3979.47615665575
20.92635563,3973.95692390087
20.94335563,3968.44610514908
20.96035563,3962.94386524196
20.97735563,3957.45037932464
20.99435563,3951.96583294572
21.01135563,3946.49042213561
21.02835563,3941.02435344915
21.04535563,3935.56784395292
21.06235563,3930.12112113131
21.07935563,3924.68442267789
21.09635563,3919.25799613164
21.11335563,3913.84209831271
21.13035563,3908.43699451322
21.14735563,3903.04295741076
21.16435563,3897.66026570324
21.18135563,3892.28920252221
21.19835563,3886.93005377693
21.21535563,3881.58310671362
21.23235563,3876.24864913368
21.24935563,3870.92696986436
21.26635563,3867.37870303651
21.28335563,3862.09372978998
21.30035563,3856.82253417636
21.31735563,3851.56545994752
21.33435563,3847.20281127052
21.35135563,3841.98030376567
21.36835563,3836.77326467049
21.38535563,3831.58224887745
21.40235563,3826.40787739033
21.41935563,3821.25083435441
21.43635563,3816.11186072583
21.45335563,3810.99174615427
21.47035563,3805.89132077597
21.48735563,3800.81144834748
21.50435563,3795.75302164138
21.52135563,3790.71696045309
21.53835563,3785.70421208366
21.55535563,3780.71575385545
21.57235563,3775.75259709682
21.58935563,3770.81579205869
21.60635563,3765.90643333679
21.62335563,3761.02566551155
21.64035563,3756.17468884557
21.65735563,3751.35476497676
21.67435563,3746.56722261205
21.69135563,3741.81346326547
21.70835563,3737.09496710239
21.72535563,3732.41329895762
21.74235563,3727.77011459212
21.75935563,3723.16716724731
21.77635563,3718.60631454765
21.79335563,3714.08952579424
21.81035563,3709.61888968372
21.82735563,3705.1966224782
21.84435563,3700.82507664343
21.86135563,3696.5067499625
21.87835563,3692.24429512206
21.89535563,3688.04052975524
21.91235563,3683.89844691172
21.92935563,3679.82122590926
21.94635563,3675.81224350284
21.96335563,3671.87508528839
21.98035563,3668.01355723727
21.99735563,3664.23169723743
22.01435563,3660.53378649776
22.03135563,3656.92436065677
22.04835563,3653.40822042604
22.06535563,3649.99044159833
22.08235563,3646.67638426084
22.09935563,3643.47170108275
22.11635563,3640.38234459557
22.13335563,3637.41457346198
22.15035563,3634.57495783845
