capacity,voltage
3.3321493299126864e-06,3.4015257358551025
0.04178163020663751,3.389766216278076
0.08356005329961998,3.3860626220703125
0.1253385364532875,3.38323712348938
0.16711704094070698,3.380984306335449
0.20889557877647527,3.378960609436035
0.2506741739050688,3.37733793258667
0.29245280409004015,3.3758678436279297
0.33423141905138004,3.3745505809783936
0.3760100407950628,3.3733861446380615
0.4177886897307644,3.3722023963928223
0.459567268387379,3.371324300765991
0.5013458380586509,3.370407819747925
0.5431244394236938,3.3696823120117188
0.584902987812596,3.3688805103302
0.6266815649087762,3.3682315349578857
0.6684601933967537,3.367563247680664
0.7102387904171797,3.3668758869171143
0.7520173568056197,3.3664369583129883
0.7937959916445361,3.3660168647766113
0.8355746255415593,3.365520477294922
0.8773532297142346,3.3650240898132324
0.9191318515487271,3.364546775817871
0.9609104833387331,3.36426043510437
1.0026890916608417,3.3637640476226807
1.044467648372405,3.3636114597320557
1.0862462306048566,3.363248586654663
1.1280248835267639,3.3628668785095215
1.1698035661022104,3.3627521991729736
1.211582250360742,3.3625423908233643
1.253360945505185,3.3621222972869873
1.2951396036815315,3.362065076828003
1.3369182708121845,3.36179780960083
1.3786969354411998,3.361644983291626
1.4204755659527415,3.361511468887329
1.462254221535261,3.3613967895507812
1.5040328488337449,3.3610150814056396
1.5458115084579904,3.3610150814056396
1.5875901668334287,3.36091947555542
1.6293688159520143,3.360766887664795
1.6711475026429843,3.360652208328247
1.7129261763249328,3.36051869392395
1.7547048875285722,3.3602705001831055
1.7964836056787024,3.36032772064209
1.8382623033306453,3.3601176738739014
1.8800410023858873,3.3600986003875732
1.9218196848112103,3.3599460124969482
1.963598381323433,3.3598504066467285
2.005377092393272,3.3597168922424316
2.0471558414432196,3.359755039215088
2.088934579773587,3.3595640659332275
2.1307133546786954,3.359659433364868
2.172492148838126,3.3595831394195557
2.2142709232833226,3.3594305515289307
2.2560496761090043,3.3593921661376953
2.297828446610757,3.3592777252197266
2.3396072012904523,3.3592777252197266
2.381385988535808,3.359086751937866
2.423164766804098,3.3591630458831787
2.46494348284882,3.359029531478882
2.5067221971571203,3.359086751937866
2.548500933448635,3.359182357788086
2.590279703440818,3.359029531478882
2.6320583945341096,3.359029531478882
2.673837056140538,3.3588576316833496
2.7156157663440053,3.3588004112243652
2.757394508142388,3.3588004112243652
2.7991732134697136,3.3588004112243652
2.840952013146357,3.358781337738037
2.8827307936025885,3.3586668968200684
2.9245095612777416,3.3585903644561768
2.966288295856055,3.3585522174835205
3.008067009562137,3.3585522174835205
3.0498457027806074,3.3585140705108643
3.091624305502395,3.3585522174835205
3.133402882341664,3.3585522174835205
3.1751814623936463,3.358494997024536
3.2169600700988226,3.35845685005188
3.258738734014349,3.3583996295928955
3.3005174035982456,3.35845685005188
3.3422960806575137,3.35845685005188
3.3840747212389433,3.35845685005188
