specific_capacity_discharge,voltage_discharge,specific_power_discharge
3.341380323377992e-05,3.84091,-462.0218795231675
0.0151029045380904,3.79087,-455.9273667090423
0.0509227209427285,3.74085,-450.1128668760464
0.3850702317163527,3.69234,-444.2647655545708
0.7192166893304407,3.67813,-442.4671544973866
1.053370168008103,3.66786,-441.3193159316282
1.387523646685765,3.65944,-439.99959383846425
1.721677125363427,3.65084,-439.118738289812
2.0558270935093024,3.64424,-438.44464260034425
2.389963019528029,3.63742,-437.48988627581
2.724102456078543,3.63084,-436.93387466871576
3.058241892629057,3.62421,-436.10716749791294
3.3923883502431456,3.61773,-435.1468221884186
3.726534807857233,3.61142,-434.5859256191912
4.060702328662043,3.60555,-433.775202316385
4.394834744148984,3.59954,-433.1131109243449
4.729002264953793,3.59366,-432.2589075720164
5.063134680440733,3.58808,-431.6308027924692
5.397267095927674,3.58261,-430.9940650548364
5.731434616732484,3.57731,-430.3135168064398
6.065567032219423,3.57214,-429.46363988235225
6.399734553024234,3.56691,-429.0237366724681
6.733866968511173,3.56184,-428.4314785890461
7.068034489315984,3.55664,-427.9125310529882
7.4021669048029235,3.55147,-427.2725559353788
7.736299320289863,3.54628,-426.623504378837
8.070431735776806,3.54094,-426.01286588201145
8.404599256581614,3.53568,-425.3340076248207
8.738731672068555,3.53029,-424.6753417066291
9.072899192873365,3.52495,-424.1381010775737
9.407031608360302,3.51969,-423.2912376148949
9.741199129165112,3.51457,-422.8402734988283
10.075331544652055,3.50955,-422.11389856894544
10.409463960138996,3.50469,-421.5678922457892
10.743631480943804,3.49981,-420.7646065717352
11.077763896430746,3.4949,-420.4004433182548
11.411896311917683,3.48999,-419.7749770382503
11.746063832722491,3.485,-419.2373225440368
12.080196248209434,3.48002,-418.6765029991066
12.414328663696374,3.47499,-418.0436830225308
12.748496184501183,3.46987,-417.3931004900777
13.082663705305997,3.46472,-416.797686130495
13.416796120792936,3.45956,-416.2359744296885
13.750928536279876,3.45448,-415.57980853361977
14.085060951766817,3.44951,-414.868563104485
14.419193367253754,3.44467,-414.3892008528415
14.753360888058566,3.44005,-413.8268997639384
15.087528408863376,3.4354,-413.2948720521594
15.421660824350315,3.43078,-412.7082800841529
15.755828345155123,3.42611,-412.17377719259946
16.089995865959935,3.42139,-411.6470209078493
16.424128281446876,3.4166,-410.9273553026668
16.758295802251684,3.41173,-410.3450714252875
17.092428217738625,3.40681,-409.8893732286207
17.426595738543437,3.40184,-409.2200421061942
17.76076325934825,3.39682,-408.6161675526076
18.094930780153057,3.39183,-408.01590181109424
18.42906319564,3.3868,-407.5088411030493
18.7632307164448,3.38185,-406.78502526111
19.097363131931747,3.37692,-406.22573638878106
19.431530652736555,3.37208,-405.6298726755128
19.765663068223496,3.36734,-405.1503393545319
20.09983058902831,3.36256,-404.4145872058808
20.43396300451525,3.35776,-403.8771809038774
20.768130525320057,3.35292,-403.3017971584305
21.10229804612487,3.34796,-402.7551170031612
21.43643046161181,3.34302,-402.1409846638976
21.77059798241661,3.33806,-401.5143806063582
22.10473039790356,3.3331,-400.92114307192975
22.438897918708367,3.32817,-400.3146796301974
22.773030334195308,3.32341,-399.6858621076623
23.10716274968225,3.31873,-399.2555637683541
23.44133027048705,3.3141,-398.7182427027647
23.775497791291865,3.30949,-397.9988244695917
24.109630206778807,3.30487,-397.6704345415607
24.44379772758361,3.30023,-397.0070055400191
24.77793014307056,3.29548,-396.4418430870075
25.112097663875364,3.29073,-395.7851691038097
25.44623007936231,3.28586,-395.3306642573787
